อายุสามสิบกว่า	a yu sam sip kwa	ā yu~ sāmˊ sipˇ gwāˇ	三十多歲	engine-auto	
เงินหาย	nguen hai	ngə̄n hāiˊ	錢不見了	engine-auto	
หาย	hai	hāiˊ	不見 / 消失 / 痊癒	engine-auto	
เคยเงินหายไหม	khoei nguen hai mai	kə̄i ngə̄n hāiˊ maiˊ	曾經錢不見過嗎？	engine-auto	
กระเป๋าหาย	kra pao hai	graˇ bāuˊ hāiˊ	包包不見了	engine-auto	
หายไปไหนมา	hai pai nai ma	hāiˊ bai naiˊ mā	消失去哪裡了？	engine-auto	
สบายดีไหม	sa bai di mai	saˇ bhāi dhī maiˊ	你好嗎？	engine-auto	
คิดถึงจังเลย	khit thueng chang loei	kit~ tɯngˊ jang lə̄i	好想你喔	engine-auto	
หายเจ็บ	hai chep	hāiˊ jepˇ	不痛了	engine-auto	
เจ็บ	chep	jepˇ	痛	engine-auto	
หายเจ็บหรือยัง	hai chep rue yang	hāiˊ jepˇ rɯ̄ˊ yang	不痛了嗎？ / 痛好了沒？	engine-auto	
หายหิวหรือยัง	hai hiu rue yang	hāiˊ hiwˊ rɯ̄ˊ yang	不餓了嗎？	engine-auto	
ยัง	yang	yang	還沒	engine-auto	
ยังหิว	yang hiu	yang hiwˊ	還很餓	engine-auto	
หายคิดถึงหรือยัง	hai khit thueng rue yang	hāiˊ kit~ tɯngˊ rɯ̄ˊ yang	不想念了嗎？	engine-auto	
หายแล้ว	hai laeo	hāiˊ lɛ̄u~	好了 / 痊癒了	engine-auto	
ประจำ	pra cham	braˇ jam	固定的 / 常常的	engine-auto	
ประจำเดือน	pra cham duean	braˇ jam dhɯ̄an	月經	engine-auto	
ผู้หญิงมีประจำเดือน	phu ying mi pra cham duean	pūˋ yingˊ mī braˇ jam dhɯ̄an	女人有月經	engine-auto	
รถประจำทาง	rot pra cham thang	rot~ braˇ jam tāng	公車（正式）	engine-auto	
รถเมล์	rot me	rot~ mē	公車（口語）	engine-auto	
เคยนั่งรถประจำทางไหมคะ	khoei nang rot pra cham thang mai kha	kə̄i nangˋ rot~ braˇ jam tāng maiˊ ka~	曾搭過公車嗎？	engine-auto	
โรค	rok	rōkˋ	疾病	book-exact	(book-exact已用引擎重新驗證)
โรคเบาหวาน	rok bao wan	rōkˋ bhāu wānˊ	糖尿病	engine-auto	
โรคหัวใจ	rok hua chai	rōkˋ hūaˊ jai	心臟病	engine-auto	
โรคมะเร็ง	rok ma reng	rōkˋ ma~ reng	癌症	engine-auto	
ไม่มีโรคประจำตัวนะคะ	mai mi rok pra cham tua na kha	maiˋ mī rōkˋ braˇ jam dūa na~ ka~	沒有慢性病呢	engine-auto	
ยาประจำบ้าน	ya pra cham ban	yā braˇ jam bhānˋ	家庭常備藥	engine-auto	
ที่บ้านของคุณมียาประจำบ้านไหมคะ	thi ban khon khun mi ya pra cham ban mai kha	tīˋ bhānˋ kɔ̄ngˊ kun mī yā braˇ jam bhānˋ maiˊ ka~	你家有家庭常備藥嗎？	engine-auto	
บ้านผมมียาประจำบ้านครับ	ban phom mi ya pra cham ban khrap	bhānˋ pomˊ mī yā braˇ jam bhānˋ krap~	我家有家庭常備藥（男性自稱）	engine-auto	
สุขภาพ	suk kha phap	sukˇ pāpˋ	健康	book-exact	(book-exact已用引擎重新驗證)
ขอให้สุขภาพแข็งแรง	kho hai suk kha phap khaeng raeng	kɔ̄ˊ haiˋ sukˇ pāpˋ kɛngˊ rɛ̄ng	祝你身體健康	engine-auto	
ลูกค้าประจำ	luk kha pra cham	lūkˋ kā~ braˇ jam	常客	engine-auto	
ร้านประจำ	ran pra cham	rān~ braˇ jam	常去的店	engine-auto	
งานประจำ	ngan pra cham	ngān braˇ jam	正職 / 全職工作	engine-auto	
งานพาร์ทไทม์	ngan phat thaim	ngān pātˋ tai	兼職工作（Part-time）	engine-auto	
มาสายเป็นประจำ	ma sai pen pra cham	mā sāiˊ ben braˇ jam	經常遲到（固定地）	engine-auto	
มาสายประจำ	ma sai pra cham	mā sāiˊ braˇ jam	經常遲到（簡稱）	engine-auto	
ฉันคิดว่า	chan khit wa	chanˊ kit~ wāˋ	我認為（女性自稱）	engine-auto	
ฉันหวังว่า	chan wang wa	chanˊ wangˊ wāˋ	我希望（女性自稱）	engine-auto	
หวัง	wang	wangˊ	希望 / 盼望	engine-auto	
ฉันหวังว่าพรุ่งนี้จะเป็นเศรษฐี	chan wang wa phrung ni cha pen set thi	chanˊ wangˊ wāˋ prungˋ nī~ jaˇ ben srētˇ tīˊ	我希望明天會變成大富翁（女性自稱）	engine-auto	
หาเงิน	ha nguen	hāˊ ngə̄n	賺錢	engine-auto	
นั่น	nan	nanˋ	นั่น	engine-auto	
ก็	ko	gɔ̄ˋ	就	engine-auto	
นี่หมายความว่า	ni mai khwam wa	nīˋ māiˊ kwām wāˋ	這意思是 / 這意味著	engine-auto	
นี่	ni	nīˋ	這	engine-auto	
หมายความ	mai khwam	māiˊ kwām	意思	engine-auto	
นี่หมายความว่าห้ามเข้า	ni mai khwam wa ham khao	nīˋ māiˊ kwām wāˋ hāmˋ kāuˋ	這是禁止進入的意思	engine-auto	
นี่หมายความว่าอะไร	ni mai khwam wa a rai	nīˋ māiˊ kwām wāˋ aˇ rai	這是什麼意思？	engine-auto	
นี่หมายความว่าห้ามจอด	ni mai khwam wa ham chot	nīˋ māiˊ kwām wāˋ hāmˋ jɔ̄tˇ	這是禁止停車的意思	engine-auto	
นี่หมายความว่าห้ามเลี้ยวซ้าย	ni mai khwam wa ham liao sai	nīˋ māiˊ kwām wāˋ hāmˋ līau~ sāi~	這是禁止左轉的意思	engine-auto	
คำนี้หมายความว่าอะไร	kham ni mai khwam wa a rai	kam nī~ māiˊ kwām wāˋ aˇ rai	這個字是什麼意思？	engine-auto	
ไว้	wai	wai~	著（置於動詞後）	engine-auto	
ทิ้งไว้	thing wai	ting~ wai~	丟著（在某處）	engine-auto	
ก่อน	kon	gɔ̄nˇ	先 / 以前	book-exact	(book-exact已用引擎重新驗證)
นอนหลับฝันดีนะคะ อาทิตย์หน้าเจอกันค่ะ ขอบคุณนะคะ	non lap fan di na kha a thit na choe kan kha khop khun na kha	nɔ̄n lapˇ fanˊ dhī na~ ka~ ā tit~ nāˋ jə̄ gan kaˋ kɔ̄pˇ kun na~ ka~	祝大家有個好夢，下週見，謝謝大家	engine-auto	
โรงเรียน	rong rian	rōng rīan	學校	engine-auto	
โรงแรม	rong raem	rōng rɛ̄m	飯店	engine-auto	
โรงงาน	rong ngan	rōng ngān	工廠	engine-auto	
โรงหนัง	rong nang	rōng nangˊ	電影院	engine-auto	
เริ่ม	roem	rə̄mˋ	開始	engine-auto	
เริ่มทำงาน	roem tham ngan	rə̄mˋ tam ngān	開始上班	engine-auto	
เริ่มเรียนภาษาไทย	roem rian pha sa thai	rə̄mˋ rīan pā sāˊ tai	開始學泰文	engine-auto	
เริ่มกี่โมง	roem ki mong	rə̄mˋ gīˇ mōng	幾點開始	engine-auto	
รถไฟฟ้า	rot fai fa	rot~ fai fā~	捷運 / 電車	engine-auto	
ที่ไทเป	thi thai pe	tīˋ tai bē	在台北	engine-auto	
รถไฟฟ้าที่ไทเปเริ่มกี่โมง	rot fai fa thi thai pe roem ki mong	rot~ fai fā~ tīˋ tai bē rə̄mˋ gīˇ mōng	台北的捷運幾點開始？	engine-auto	
รถไฟฟ้าที่ไทเปเริ่มหกโมงเช้า	rot fai fa thi thai pe roem hok mong chao	rot~ fai fā~ tīˋ tai bē rə̄mˋ hokˇ mōng chāu~	台北的捷運早上六點開始	engine-auto	
เริ่มขายเหล้ากี่โมง	roem khai lao ki mong	rə̄mˋ kāiˊ lāuˋ gīˇ mōng	幾點開始賣酒？	engine-auto	
เริ่มขายเหล้าสิบเอ็ดโมง	roem khai lao sip et mong	rə̄mˋ kāiˊ lāuˋ sipˇ etˇ mōng	十一點開始賣酒	engine-auto	
เลิก	loek	lə̄kˋ	結束 / 下班 / 下課 / 戒	engine-auto	
เลิกงาน	loek ngan	lə̄kˋ ngān	下班	engine-auto	
เลิกเรียน	loek rian	lə̄kˋ rīan	下課	engine-auto	
เลิกงานหรือยัง	loek ngan rue yang	lə̄kˋ ngān rɯ̄ˊ yang	下班了嗎？	engine-auto	
เลิกงานแล้ว	loek ngan laeo	lə̄kˋ ngān lɛ̄u~	已經下班了	engine-auto	
ยังไม่เลิกงาน	yang mai loek ngan	yang maiˋ lə̄kˋ ngān	還沒下班	engine-auto	
เลิกเหล้า	loek lao	lə̄kˋ lāuˋ	戒酒	engine-auto	
เลิกบุหรี่	loek buri	lə̄kˋ bhuˇ rīˇ	戒菸	engine-auto	
ตั้งใจจะ	tang chai cha	dangˋ jai jaˇ	打算 / 決定	engine-auto	
ปีนี้ตั้งใจจะเลิก	pi ni tang chai cha loek	bī nī~ dangˋ jai jaˇ lə̄kˋ	今年打算要戒掉...	engine-auto	
ปีนี้ตั้งใจจะเลิกขี้เกียจ	pi ni tang chai cha loek khi kiet	bī nī~ dangˋ jai jaˇ lə̄kˋ kīˋ gīatˇ	今年打算改掉懶惰的習慣	engine-auto	
ปีนี้ตั้งใจจะเลิกมาสาย	pi ni tang chai cha loek ma sai	bī nī~ dangˋ jai jaˇ lə̄kˋ mā sāiˊ	今年打算改掉遲到的習慣	engine-auto	
ปีนี้ตั้งใจจะเลิกตื่นสาย	pi ni tang chai cha loek tuen sai	bī nī~ dangˋ jai jaˇ lə̄kˋ dɯ̄nˇ sāiˊ	今年打算改掉晚起的習慣	engine-auto	
ปีนี้ตั้งใจจะเลิกนอนดึก	pi ni tang chai cha loek non duek	bī nī~ dangˋ jai jaˇ lə̄kˋ nɔ̄n dhɯkˇ	今年打算改掉熬夜的習慣	engine-auto	
ไหว	wai	waiˊ	得（動詞後，表示能力）	engine-auto	
ไม่ไหว	mai wai	maiˋ waiˊ	不行了 / 受不了 / ...不了	engine-auto	
เดินไม่ไหวแล้ว	doen mai wai laeo	dhə̄n maiˋ waiˊ lɛ̄u~	走不了了 / 走不動了	engine-auto	
อยากกลับโรงแรม	yak klap rong raem	yākˋ glapˇ rōng rɛ̄m	想回飯店	engine-auto	
เดินไม่ไหวแล้ว อยากกลับโรงแรม	doen mai wai laeo yak klap rong raem	dhə̄n maiˋ waiˊ lɛ̄u~ yākˋ glapˇ rōng rɛ̄m	走不了了，想回飯店	engine-auto	
อิ่มมาก กินไม่ไหวแล้ว	im mak kin mai wai laeo	imˇ mākˋ gin maiˋ waiˊ lɛ̄u~	很飽，吃不下了	engine-auto	
เช้าเกินไป ตื่นไม่ไหวค่ะ	chao koen pai tuen mai wai kha	chāu~ gə̄n bai dɯ̄nˇ maiˋ waiˊ kaˋ	太早了，起不來（女）	engine-auto	
วันนี้ลา	wan ni la	wan nī~ lā	今天請假	engine-auto	
ลาไปไหน	la pai nai	lā bai naiˊ	請假去哪裡？	engine-auto	
ลาไปหาหมอ	la pai ha mo	lā bai hāˊ mɔ̄ˊ	請假去看醫生	engine-auto	
ลาไปเที่ยว	la pai thiao	lā bai tīauˋ	請假去玩	engine-auto	
จ่ายเงินหรือยังคะ	chai ngoen rue yang kha	jāiˇ ngə̄n rɯ̄ˊ yang ka~	付錢了嗎？（女）	engine-auto	
จ่ายก่อนค่ะ	chai kon kha	jāiˇ gɔ̄nˇ kaˋ	先付錢（女）	engine-auto	
ทุกเดือนต้องจ่ายค่าอะไรบ้าง	thuk duean tong chai kha a rai bang	tuk~ dhɯ̄an dɔ̄ngˋ jāiˇ kāˋ aˇ rai bhāngˋ	每個月需要繳一些什麼費用？	engine-auto	
ค่าเช่า	kha chao	kāˋ chāuˋ	租金	engine-auto	
จ่ายค่าน้ำ	chai kha nam	jāiˇ kāˋ nām~	付水費	engine-auto	
จ่ายค่าไฟ	chai kha fai	jāiˇ kāˋ fai	付電費	engine-auto	
จ่ายค่ามือถือ	chai kha mue thue	jāiˇ kāˋ mɯ̄ tɯ̄ˊ	付手機費	engine-auto	
จ่ายค่าเช่า	chai kha chao	jāiˇ kāˋ chāuˋ	付租金	engine-auto	
เลี้ยงหมา	liang ma	līang~ māˊ	養狗	engine-auto	
เลี้ยงแมว	liang maeo	līang~ mɛ̄u	養貓	engine-auto	
จ่ายค่าอาหารแมว	chai kha a han maeo	jāiˇ kāˋ ā hānˊ mɛ̄u	付貓飼料費	engine-auto	
จ่ายค่าอาหารหมา	chai kha a han ma	jāiˇ kāˋ ā hānˊ māˊ	付狗飼料費	engine-auto	
กลาง	klang	glāng	中 / 中間	engine-auto	
เดือนละเท่าไหร่	duean la thao rai	dhɯ̄an la~ tāuˋ raiˇ	每個月多少錢？	engine-auto	
ทอน	thon	tɔ̄n	找（錢）	engine-auto	
ไม่ต้องทอนค่ะ	mai tong thon kha	maiˋ dɔ̄ngˋ tɔ̄n kaˋ	不用找（女）	engine-auto	
เพิ่ม	phoem	pə̄mˋ	加	engine-auto	
เติม	toem	də̄m	加 / 補滿	engine-auto	
เติมข้าว	toem khao	də̄m kāuˋ	續飯	engine-auto	
เพิ่มข้าว	phoem khao	pə̄mˋ kāuˋ	加飯	engine-auto	
เติมโค้กฟรี	toem khok fri	də̄m kōk~ frī	免費續杯可樂	engine-auto	
เพิ่มเส้น	phoem sen	pə̄mˋ sēnˋ	加麵	engine-auto	
ถ้ามีอาหารเช้า ต้องเพิ่มเงินเท่าไหร่คะ	tha mi a han chao tong phoem ngoen thao rai kha	tāˋ mī ā hānˊ chāu~ dɔ̄ngˋ pə̄mˋ ngə̄n tāuˋ raiˇ ka~	如果有早餐，要加多少錢？（女）	engine-auto	
ต้องเพิ่มเงินสองร้อย	tong phoem ngoen song roi	dɔ̄ngˋ pə̄mˋ ngə̄n sɔ̄ngˊ rɔ̄i~	需要加錢二百	engine-auto	
หาย	hai	hāiˊ	不見了 / 好了	engine-auto	
มือถือหาย	mue thue hai	mɯ̄ tɯ̄ˊ hāiˊ	手機不見了	engine-auto	
กระเป๋าตังหาย	kra pao tang hai	graˇ bāuˊ dang hāiˊ	錢包不見了	engine-auto	
กุญแจหาย	kun chae hai	gun jɛ̄ hāiˊ	鑰匙不見了	engine-auto	
หายไม่สบายแล้ว	hai mai sa bai laeo	hāiˊ maiˋ saˇ bhāi lɛ̄u~	病好了 / 痊癒了	engine-auto	
หายแล้ว	hai laeo	hāiˊ lɛ̄u~	好了	engine-auto	
หายหรือยัง	hai rue yang	hāiˊ rɯ̄ˊ yang	好了嗎？	engine-auto	
หายหรือยังคะ	hai rue yang kha	hāiˊ rɯ̄ˊ yang ka~	好了嗎？（女）	engine-auto	
หายเร็วๆ นะคะ	hai reo reo na kha	hāiˊ rew rew na~ ka~	早日康復（女）	engine-auto	
ประจำ	pra cham	braˇ jam	固定 / 常年的	engine-auto	
ลูกค้าประจำ	luk kha pra cham	lūkˋ kā~ braˇ jam	常客	engine-auto	
ร้านประจำ	ran pra cham	rān~ braˇ jam	常去的店	engine-auto	
มีร้านประจำไหม	mi ran pra cham mai	mī rān~ braˇ jam maiˊ	有常去的店嗎？	engine-auto	
ฉันคิดว่า	chan khit wa	chanˊ kit~ wāˋ	我覺得 / 我認為	engine-auto	
ผมคิดว่า	phom khit wa	pomˊ kit~ wāˋ	我覺得 / 我認為（男）	engine-auto	
คิดว่าศุกร์นี้หยุด	khit wa suk ni yut	kit~ wāˋ sukˇ nī~ yutˇ	覺得這禮拜五會停班	engine-auto	
คิดว่าศุกร์นี้ไม่หยุด	khit wa suk ni mai yut	kit~ wāˋ sukˇ nī~ maiˋ yutˇ	覺得這禮拜五不會停班	engine-auto	
ฉันคิดว่าศุกร์นี้หยุด	chan khit wa suk ni yut	chanˊ kit~ wāˋ sukˇ nī~ yutˇ	我覺得這禮拜五會停班	engine-auto	
ไม่หยุด	mai yut	maiˋ yutˇ	不停 / 不放假	engine-auto	
ฉันหวังว่า	chan wang wa	chanˊ wangˊ wāˋ	我希望	engine-auto	
นี่หมายความว่า	ni maikhwam wa	nīˋ māiˊ kwām wāˋ	這意味著	engine-auto	
นักร้อง	nak rong	nak~ rɔ̄ng~	歌手	engine-auto	
นักข่าว	nak khao	nak~ kāuˇ	記者	engine-auto	
วันนี้เรียนอะไร	wan ni rian a rai	wan nī~ rīan aˇ rai	今天學什麼？	engine-auto	
เริ่ม	roem	rə̄mˋ	開始	engine-auto	
ตัก	tak	dakˇ	舀 / 盛	engine-auto	
ตักข้าว	tak khao	dakˇ kāuˋ	盛飯	engine-auto	
ตักน้ำ	tak nam	dakˇ nām~	舀水 / 舀湯	engine-auto	
ทำอาหาร	tham a han	tam ā hānˊ	做飯 / 做菜	engine-auto	
ตักข้าวใส่จาน	tak khao sai chan	dakˇ kāuˋ saiˇ jān	盛飯裝盤	engine-auto	
ใส่	sai	saiˇ	放 / 穿 / 戴	engine-auto	
ใส่เสื้อ	sai suea	saiˇ sɯ̄aˋ	穿衣服	engine-auto	
ใส่กางเกง	sai kangkeng	saiˇ gāng gēng	穿褲子	engine-auto	
ทำไมต้องเรียน	tham mai tong rian	tam mai dɔ̄ngˋ rīan	為什麼要學？	engine-auto	
คุณตักถึงไหม	khun tak thueng mai	kun dakˇ tɯngˊ maiˊ	你盛得到嗎？ / 你夾得到嗎？	engine-auto	
คุณตักถึงไหมคะ	khun tak thueng mai kha	kun dakˇ tɯngˊ maiˊ ka~	你盛得到嗎？（女）	engine-auto	
ช่วยตักให้หน่อยค่ะ	chuai tak hai noi kha	chūayˋ dakˇ haiˋ nɔ̄iˇ kaˋ	幫我盛一下（女）	engine-auto	
ไปกินบุฟเฟต์	pai kin buf fe	bai gin bhupˇ fē	去吃自助餐 / 百匯	engine-auto	
กินอาหารเช้า	kin a han chao	gin ā hānˊ chāu~	吃早餐	engine-auto	
ไปตักอาหาร	pai tak a han	bai dakˇ ā hānˊ	去夾菜 / 去盛菜	engine-auto	
ผมไปตักอาหาร	phom pai tak a han	pomˊ bai dakˇ ā hānˊ	我去夾菜 / 我去拿菜（男）	engine-auto	
คุณจองโต๊ะ	khun chong to	kun jɔ̄ng do~	你佔位 / 你訂位	engine-auto	
ฉันไปตักอาหาร คุณไปจองโต๊ะค่ะ	chan pai tak a han khun pai chong to kha	chanˊ bai dakˇ ā hānˊ kun bai jɔ̄ng do~ kaˋ	我去拿菜，你先去佔位。（女）	engine-auto	
ดึง	dueng	dhɯng	拉	engine-auto	
ดึงประตู	dueng pratu	dhɯng braˇ dū	拉門	engine-auto	
ดึงออกมาดู	dueng ok ma du	dhɯng ɔ̄kˇ mā dhū	拉出來看	engine-auto	
ดึงลิ้นชัก	dueng lin chak	dhɯng lin~ chak~	拉抽屜	engine-auto	
ลิ้นชัก	lin chak	lin~ chak~	抽屜	engine-auto	
ลิ้น	lin	lin~	舌頭	engine-auto	
อยู่ในลิ้นชัก	yu nai lin chak	yūˋ nai lin~ chak~	在抽屜裡	engine-auto	
แก้วอยู่ในลิ้นชัก	kaeo yu nai lin chak	gɛ̄uˋ yūˋ nai lin~ chak~	杯子在抽屜裡	engine-auto	
ชาอยู่ในลิ้นชัก	cha yu nai lin chak	chā yūˋ nai lin~ chak~	茶在抽屜裡	engine-auto	
ขนมอยู่ในลิ้นชัก	khanom yu nai lin chak	kaˇ nom yūˋ nai lin~ chak~	點心 / 零食在抽屜裡	engine-auto	
โดราเอมอนอยู่ในลิ้นชัก	doraemon yu nai lin chak	dhō rā ē mɔ̄n yūˋ nai lin~ chak~	哆啦A夢在抽屜裡	engine-auto	
ลิ้นชักซ้ายบน	lin chak sai bon	lin~ chak~ sāi~ bhon	左上的抽屜	engine-auto	
อยู่ในลิ้นชักขวาล่าง	yu nai lin chak khwa lang	yūˋ nai lin~ chak~ kwāˊ lāngˋ	在右下的抽屜裡	engine-auto	
หยิบ	yip	yipˇ	拿	engine-auto	
เอา	ao	au	拿 / 要	book-exact	(book-exact已用引擎重新驗證)
ไปเอาโต๊ะ	pai ao to	bai au do~	去拿桌子	engine-auto	
ไปเอาเก้าอี้	pai ao kao i	bai au gāuˋ īˋ	去拿椅子	engine-auto	
หยิบของ	yip khong	yipˇ kɔ̄ngˊ	拿東西	engine-auto	
สูงเกินไป ฉันหยิบไม่ถึงค่ะ	sung koen pai chan yip mai thueng kha	sūngˊ gə̄n bai chanˊ yipˇ maiˋ tɯngˊ kaˋ	太高了，我拿不到 (女)	engine-auto	
ช่วยหยิบให้หน่อยครับ	chuai yip hai noi khrap	chūayˋ yipˇ haiˋ nɔ̄iˇ krap~	幫我拿一下 (男)	engine-auto	
ช่วยหยิบให้หน่อยค่ะ	chuai yip hai noi kha	chūayˋ yipˇ haiˋ nɔ̄iˇ kaˋ	幫我拿一下 (女)	engine-auto	
ไปหยิบเสื้อผ้า	pai yip suea pha	bai yipˇ sɯ̄aˋ pāˋ	去拿衣服	engine-auto	
ไปหยิบเงิน	pai yip ngoen	bai yipˇ ngə̄n	去拿錢	engine-auto	
เคี้ยว	khiao	kīau~	嚼 / 咬	engine-auto	
เขียว	khiao	kīauˊ	綠色	engine-auto	
เคี้ยวข้าว	khiao khao	kīau~ kāuˋ	嚼飯	engine-auto	
เคี้ยวหมาก	khiao mak	kīau~ mākˇ	嚼檳榔	engine-auto	
เวลานั่งรถไฟฟ้า	wela nang rot fai fa	wē lā nangˋ rot~ fai fā~	搭捷運的時候	engine-auto	
กอด	kot	gɔ̄tˇ	抱	engine-auto	
กอดอก	kot ok	gɔ̄ dhɔ̄kˇ	抱胸	engine-auto	
กอดให้แน่น	kot hai naen	gɔ̄tˇ haiˋ nɛ̄nˋ	抱緊	engine-auto	
แน่น	naen	nɛ̄nˋ	緊 / 擁擠	engine-auto	
กางเกงแน่นมากค่ะ	kangkeng naen mak kha	gāng gēng nɛ̄nˋ mākˋ kaˋ	褲子很緊 (女)	engine-auto	
รองเท้าแน่นมากค่ะ	rong thaeo naen mak kha	rɔ̄ng tāu~ nɛ̄nˋ mākˋ kaˋ	鞋子很緊 (女)	engine-auto	
เก็บตัง	gep tang	gepˇ dang	收錢 / 買單	engine-auto	
เก็บ	gep	gepˇ	收起來 / 撿	engine-auto	
หยิบ	yip	yipˇ	拿	engine-auto	
ย้าย	yai	yāi~	搬 / 遷移	engine-auto	
ย้ายเข้า	yai khao	yāi~ kāuˋ	搬進去	engine-auto	
ย้ายเข้าเมื่อไหร่	yai khao muearai	yāi~ kāuˋ mɯ̄aˋ raiˇ	什麼時候搬進去？	engine-auto	
ย้ายเข้าอาทิตย์หน้าได้ไหม	yai khao athit na dai mai	yāi~ kāuˋ ā tit~ nāˋ dhaiˋ maiˊ	下禮拜搬進去可以嗎？	engine-auto	
ย้ายเข้าเดือนหน้าได้ไหม	yai khao duean na dai mai	yāi~ kāuˋ dhɯ̄an nāˋ dhaiˋ maiˊ	下個月搬進去可以嗎？	engine-auto	
ย้ายออก	yai ok	yāi~ ɔ̄kˇ	搬走	engine-auto	
ย้ายบ้าน	yai ban	yāi~ bhānˋ	搬家	engine-auto	
ย้ายงาน	yai ngan	yāi~ ngān	換工作	engine-auto	
ย้ายตำแหน่ง	yai tamnaeng	yāi~ dam nɛ̄ngˇ	調職	engine-auto	
เปลี่ยนงาน	plian ngan	blīanˇ ngān	換工作	engine-auto	
เปลี่ยนตำแหน่ง	plian tamnaeng	blīanˇ dam nɛ̄ngˇ	變更職位 / 調職	engine-auto	
ย้ายไปข้างนอกได้ไหมครับ	yai pai khang nok dai mai khrap	yāi~ bai kāngˋ nɔ̄kˋ dhaiˋ maiˊ krap~	移到外面可以嗎？	engine-auto	
ย้ายไปข้างในได้ไหมครับ	yai pai khang nai dai mai khrap	yāi~ bai kāngˋ nai dhaiˋ maiˊ krap~	移到裡面可以嗎？	engine-auto	
ย้ายไปข้างบนได้ไหมครับ	yai pai khang bon dai mai khrap	yāi~ bai kāngˋ bhon dhaiˋ maiˊ krap~	移到上面可以嗎？	engine-auto	
แทน	thaen	tɛ̄n	代替	engine-auto	
สอนแทน	son thaen	sɔ̄nˊ tɛ̄n	代課	engine-auto	
ตัวแทน	tua thaen	dūa tɛ̄n	代表 / 代理商	engine-auto	
เป็นตัวแทนไต้หวัน	pen tua thaen taiwan	ben dūa tɛ̄n daiˋ wanˊ	作為台灣代表	engine-auto	
มีตัวแทนที่เมืองไทย	mi tua thaen thi mueang thai	mī dūa tɛ̄n tīˋ mɯ̄ang tai	在泰國有代理商	engine-auto	
ใช้ A แทน B	chai A thaen B	chai~ A tɛ̄n B	用 A 代替 B	engine-auto	
ใช้ซีอิ๊วแทนน้ำปลา	chai si iu thaen nampla	chai~ sī iw~ tɛ̄n nām~ blā	用醬油代替魚露	engine-auto	
ใช้มือถือแทนกล้อง	chai mue thue thaen klong	chai~ mɯ̄ tɯ̄ˊ tɛ̄n glɔ̄ngˋ	用手機代替相機	engine-auto	
ใช้ไฟฟ้าแทนน้ำมัน	chai fai fa thaen nam man	chai~ fai fā~ tɛ̄n nām~ man	用電代替油	engine-auto	
หมายเลข	mai lek	māiˊ lēkˋ	號碼	engine-auto	
เบอร์	boe	bhə̄	號碼	engine-auto	
เลข	lek	lēkˋ	數字 / 號碼	engine-auto	
เลขไทย	lek thai	lēkˋ tai	泰文數字	engine-auto	
ซื้อตั๋ว	sue tua	sɯ̄~ dūaˊ	買門票 / 買車票	engine-auto	
จอดรถ	chawt rot	jɔ̄tˇ rot~	停車	engine-auto	
ทะเบียนรถ	thabian rot	ta~ bhīan rot~	車牌	engine-auto	
ทะเบียนบ้าน	thabian ban	ta~ bhīan bhānˋ	戶籍 / 戶口名簿	engine-auto	
จำ	cham	jam	記 / 記住 (用腦記)	engine-auto	
เตรียม	triam	drīam	準備	engine-auto	
เตรียมขนมไปด้วย	triam khanom pai duai	drīam kaˇ nom bai dhūayˋ	準備零食去	engine-auto	
ด้วย	duai	dhūayˋ	語氣詞 (表示叫、命令別人做事)	engine-auto	
ไปซื้อด้วยนะ	pai sue duai na	bai sɯ̄~ dhūayˋ na~	記得去買喔	engine-auto	
กินข้าวด้วยนะ	kin khao duai na	gin kāuˋ dhūayˋ na~	記得吃飯喔	engine-auto	
เตรียมขนมไปด้วยนะ	triam khanom pai duai na	drīam kaˇ nom bai dhūayˋ na~	記得準備零食去喔	engine-auto	
เตรียมตัวไป	triam tua pai	drīam dūa bai	準備去	engine-auto	
เตรียมตัวไปเที่ยวเมืองไทย	triam tua pai thiao mueang thai	drīam dūa bai tīauˋ mɯ̄ang tai	準備去泰國玩	engine-auto	
เตรียมพร้อมหรือยัง	triam phrom rue yang	drīam prɔ̄m~ rɯ̄ˊ yang	準備好了嗎	engine-auto	
พร้อม	phrom	prɔ̄m~	準備好	engine-auto	
พร้อมหรือยังครับ	phrom rue yang khrap	prɔ̄m~ rɯ̄ˊ yang krap~	準備好了嗎？(男)	engine-auto	
พร้อมหรือยังคะ	phrom rue yang kha	prɔ̄m~ rɯ̄ˊ yang ka~	準備好了嗎？(女)	engine-auto	
วันศุกร์นี้มีพายุ	wan suk ni mi phayu	wan sukˇ nī~ mī pā yu~	這個星期五有颱風	engine-auto	
เซ็น	sen	sen	簽 / 簽名	engine-auto	
เซ็นชื่อ	sen chue	sen chɯ̄ˋ	簽名 (動詞)	engine-auto	
เซ็นสัญญาเช่า	sen sanya chao	sen sanˊ yā chāuˋ	簽租約	engine-auto	
เซ็นกี่ปี	sen ki pi	sen gīˇ bī	簽幾年	engine-auto	
เซ็นกี่ปีคะ	sen ki pi kha	sen gīˇ bī ka~	簽幾年呢？(女)	engine-auto	
ลายเซ็น	lai sen	lāi sen	親筆簽名 / 筆跡 (名詞)	engine-auto	
ขอ	kho	kɔ̄ˊ	請求 / 請	engine-auto	
ขอลายเซ็นหน่อยค่ะ	kho lai sen noi kha	kɔ̄ˊ lāi sen nɔ̄iˇ kaˋ	可以給我簽名嗎？(女)	engine-auto	
