課次	泰文	舊拼音(Sheet)	新拼音(目的達)	中文	來源	備註
中 1-7	ในกรุงเทพ	nai krungthep	nai grung tēpˋ	在曼谷	engine-auto	
中 1-7	มีคนอีสานเยอะไหมอ่ะ	mi khon isan yoet mai a	mī kon ī sānˊ yə~ maiˊ aˇ	有很多東北部人嗎	engine-auto	
中 1-7	ก็เยอะนะ	ko yoet na	gɔ̄ˋ yē aˇ na~	也很多喔	engine-auto	
中 1-7	เข้ามา	khao ma	kāuˋ mā	進來	engine-auto	
中 1-7	ที่เข้ามาทำงาน	thi khao ma	tīˋ kāuˋ mā tam ngān	進來工作的人	engine-auto	
中 1-7	คนหาเช้ากินค่ำ	khon ha chao kin kham	kon hāˊ chāu~ gin kamˋ	日薪族 / 勉強糊口的人	engine-auto	
中 1-7	คนอีสานที่เข้ามาทำงานในกรุงเทพส่วนใหญ่เป็นคนหาเช้ากินค่ำ	khon isan thi khao ma tham ngan nai krungthep suan yai pen khon ha chao kin kham	kon ī sānˊ tīˋ kāuˋ mā tam ngān nai grung tēpˋ sūanˇ yaiˇ ben kon hāˊ chāu~ gin kamˋ	進來曼谷工作的東北部人大部分是勉強糊口的人	engine-auto	
中 1-7	ชีวิตลำบาก	chiwit lambak	chī wit~ lam bhākˇ	生活艱難	engine-auto	
中 1-7	เช่น	chen	chēnˋ	例如	engine-auto	
中 1-7	แม่บ้าน	mae ban	mɛ̄ˋ bhānˋ	清潔工 / 打雜阿姨	book-exact	(book-exact已用引擎重新驗證)
中 1-7	เช่นแม่บ้าน	chen mae ban	chēnˋ mɛ̄ˋ bhānˋ	例如清潔工	engine-auto	
中 1-7	คนขับแท็กซี่	khon khap thaeksi	kon kapˇ tɛk~ sīˋ	計程車司機	engine-auto	
中 1-7	ยาม	yam	yām	警衛 / 保全	engine-auto	
中 1-7	แสดงว่า	sa daeng wa	saˇ dhɛ̄ng wāˋ	表示說 / 顯然	derived	
中 1-7	อยู่อีสานหางานยากใช่ไหม	yu isan ha ngan yak chai mai	yūˋ ī sānˊ hāˊ ngān yākˋ chaiˋ maiˊ	住東北部找工作很難是嗎	engine-auto	
中 1-7	แสดงว่าอยู่อีสานหางานยากใช่ไหม	sa daeng wa yu isan ha ngan yak chai mai	saˇ dhɛ̄ng wāˋ yūˋ ī sānˊ hāˊ ngān yākˋ chaiˋ maiˊ	表示說住東北部找工作很難是嗎	derived	
中 1-7	เออ	oe	ə̄	呃 / 喔	engine-auto	
中 1-7	อาหารมาแล้ว	ahan ma laeo	ā hānˊ mā lɛ̄u~	菜來了	engine-auto	
中 1-7	ดีกว่า	di kwa	dhī gwāˇ	比較好 / 更好	engine-auto	
中 1-7	เราเริ่มกินกันเลยดีกว่า	rao roem kin kan loei di kwa	rāu rə̄mˋ gin gan lə̄i dhī gwāˇ	我們開始吃吧	engine-auto	
中 1-7	อย่าเพิ่ง	ya phoeng	yāˋ pə̄ngˋ	先別 / 先不要	engine-auto	
中 1-7	อย่าเพิ่งอย่าเพิ่ง	ya phoeng ya phoeng	yāˋ pə̄ngˋ yāˋ pə̄ngˋ	先別先別	engine-auto	
中 1-7	ขอถ่ายรูปก่อน	kho thai rup kon	kɔ̄ˊ tāiˇ rūpˋ gɔ̄nˇ	讓我先拍照	engine-auto	
中 1-7	จะสั่งเหล้าไหม	cha sang lao mai	jaˇ sangˇ lāuˋ maiˊ	要點酒嗎	engine-auto	
中 1-7	ฉันเลิกกินเหล้านานแล้ว	chan loek kin lao nan laeo	chanˊ lə̄kˋ gin lāuˋ nān lɛ̄u~	我戒酒很久了	engine-auto	
中 1-7	เอาถ้วยมา	ao thuay ma	au tūayˋ mā	拿碗來	engine-auto	
中 1-7	เดี๋ยวฉันตักให้	diao chan tak hai	dhīauˊ chanˊ dakˇ haiˋ	等一下我幫你舀	engine-auto	
中 1-7	ขอบใจ	khop chai	kɔ̄pˇ jai	謝謝 (平輩用)	engine-auto	
中 1-7	ขอบใจมากนะ	khop chai mak na	kɔ̄pˇ jai mākˋ na~	很謝謝你喔	engine-auto	
中 1-7	ระวังร้อนนะ	rawang ron na	ra~ wang rɔ̄n~ na~	小心燙喔	engine-auto	
中 1-7	ค่อยๆ	khoi khoi	kɔ̄iˋ kɔ̄iˋ	慢慢地	engine-auto	
中 1-7	ค่อยๆ กิน	khoi khoi kin	kɔ̄iˋ kɔ̄iˋ gin	慢慢吃	engine-auto	
中 1-7	เคี้ยว	khiao	kīau~	咀嚼	engine-auto	
中 1-7	ช้าๆ	cha cha	chā~ chā~	慢慢地 (二字)	engine-auto	
中 1-7	เคี้ยวช้าๆ	khiao cha cha	kīau~ chā~ chā~	慢慢咀嚼	engine-auto	
中 1-7	ช่วยหยิบทิชชู่ให้หน่อย	chuay yip thitchu hai noi	chūayˋ yipˇ tit~ chūˋ haiˋ nɔ̄iˇ	幫拿一下面紙	engine-auto	
中 1-7	โห ผู้หญิงที่ไว้ผมยาว นั่งโต๊ะข้างๆ	ho phu ying thi wai phom yao nang to khang khang	hōˊ pūˋ yingˊ tīˋ wai~ pomˊ yāu nangˋ do~ kāngˋ kāngˋ	坐在隔壁桌留長頭髮的女生	engine-auto	
中 1-7	คนนั้นนะสูบบุหรี่ เราไม่ชอบเลย	khon nan na sup buri rao mai chop loei	kon nan~ na~ sūpˇ bhuˇ rīˇ rāu maiˋ chɔ̄pˋ lə̄i	那個人抽菸，我完全不喜歡	engine-auto	
中 1-7	เราแพ้ควันบุหรี่	rao phae khwan buri	rāu pɛ̄~ kwan bhuˇ rīˇ	我對菸過敏	engine-auto	
中 1-7	โห น้ำจิ้มอร่อยมากเลย	ho nam chim aroi mak loei	hōˊ nām~ jimˋ aˇ rɔ̄iˋ mākˋ lə̄i	沾醬非常好吃	engine-auto	
中 1-7	อยากซื้อเป็นของฝาก	yak seu pen khong fak	yākˋ sɯ̄~ ben kɔ̄ngˊ fākˇ	想要買當伴手禮	engine-auto	
中 1-7	ให้เพื่อนที่ไต้หวัน	hai phuan thi tai wan	haiˋ pɯ̄anˋ tīˋ daiˋ wanˊ	給台灣的朋友	engine-auto	
中 1-7	ได้สิ เขามีขาย	dai si khao mi khai	dhaiˋ siˇ kāuˊ mī kāiˊ	可以啊，他有賣	engine-auto	
中 1-7	จะเอากี่ขวดล่ะ	cha ao ki khuat la	jaˇ au gīˇ kūatˇ laˋ	要幾瓶呢	derived	
中 1-7	มันเก็บไว้ได้นานไหมอ่ะ	man kep wai dai nan mai a	man gepˇ wai~ dhaiˋ nān maiˊ aˇ	它能放很久嗎	engine-auto	
中 1-7	จะหมดอายุเมื่อไหร่	cha mot ayu muea rai	jaˇ motˇ ā yu~ mɯ̄aˋ raiˇ	什麼時候會過期呢	derived	
中 1-7	เก็บไว้ได้ถึงปีหน้า	kep wai dai theung pi na	gepˇ wai~ dhaiˋ tɯngˊ bī nāˋ	可以留到明年	engine-auto	
中 1-7	งั้นเอาสองขวด	ngan ao song khuat	ngan~ au sɔ̄ngˊ kūatˇ	那麼要兩瓶	derived	
中 1-7	เรียกเขาเช็คบิลเลยไหม	riak khao chek bin loei mai	rīakˋ kāuˊ chek~ bhin lə̄i maiˊ	叫他來結帳吧	engine-auto	
中 1-7	อิ่มมาก กินไม่ไหวแล้ว	im mak kin mai wai laeo	imˇ mākˋ gin maiˋ waiˊ lɛ̄u~	好飽喔，吃不下了	engine-auto	
中 1-7	โอเค น้องๆ เช็คบิลค่ะ	o khe nong nong chek bin kha	ō kē nɔ̄ng~ nɔ̄ng~ chek~ bhin kaˋ	OK，服務生，結帳	engine-auto	
中 1-7	เด็กเสิร์ฟ	dek soep	dhekˇ sə̄pˇ	服務生	engine-auto	
中 1-7	รอเงินทอนสักครู่นะคะ	ro ngoen thon sak khru na kha	rɔ̄ ngə̄n tɔ̄n sakˇ krūˋ na~ ka~	請稍等找零	engine-auto	
中 1-7	ไม่ต้องทอนค่ะ	mai tong thon kha	maiˋ dɔ̄ngˋ tɔ̄n kaˋ	不用找	engine-auto	
中 1-7	ให้ทิป	hai thip	haiˋ tip~	給你小費	engine-auto	
中 1-8	สรุป	sarup	srupˇ	總結	engine-auto	
中 1-8	สรุปกินจิ้มจุ่มป่ะ	sarup kin chim chum pa	srupˇ gin jimˋ jumˇ baˇ	結論是吃泰式小土鍋嗎？	engine-auto	
中 1-8	สรุปว่าเราจะไปดูทะเลหมอกกันนะ	sarup wa rao cha pai du thale mok kan na	srupˇ wāˋ rāu jaˇ bai dhū ta~ lē mɔ̄kˇ gan na~	結論是我們要一起去看雲海喔	engine-auto	
中 1-8	ไปดูทะเลหมอกกันนะ	pai du thale mok kan na	bai dhū ta~ lē mɔ̄kˇ gan na~	一起去看雲海喔	engine-auto	
中 1-8	ข่าว	khao	kāuˇ	新聞	engine-auto	
中 1-8	ข่าวเขียนว่าอะไรบ้าง	khao khian wa arai bang	kāuˇ kīanˊ wāˋ aˇ rai bhāngˋ	新聞寫了些什麼	engine-auto	
中 1-8	ข่าวพูดว่าอะไรบ้าง	khao phut wa arai bang	kāuˇ pūtˋ wāˋ aˇ rai bhāngˋ	新聞說了些什麼	engine-auto	
中 1-8	ช่วย	chuai	chūayˋ	請 / 幫忙	engine-auto	
中 1-8	ให้ฟังหน่อย	hai fang noi	haiˋ fang nɔ̄iˇ	讓（我）聽一下	engine-auto	
中 1-8	ช่วยสรุปให้ฟังหน่อย	chuai sarup hai fang noi	chūayˋ srupˇ haiˋ fang nɔ̄iˇ	請幫我總結一下	engine-auto	
中 1-8	เช่น	chen	chēnˋ	例如	engine-auto	
中 1-8	สินค้า	sinkha	sinˊ kā~	商品	engine-auto	
中 1-8	ส่งออก	song ok	songˇ ɔ̄kˇ	出口	derived	
中 1-8	สินค้าส่งออก	sinkha song ok	sinˊ kā~ songˇ ɔ̄kˇ	出口商品	derived	
中 1-8	เสียภาษี	sia phasi	sīaˊ pā sīˊ	付稅	engine-auto	
中 1-8	ภาษี	phasi	pā sīˊ	稅	engine-auto	
中 1-8	รวมภาษีหรือยัง	ruam phasi rue yang	rūam pā sīˊ rɯ̄ˊ yang	包含稅了嗎	engine-auto	
中 1-8	ต่ำมาก	tam mak	damˇ mākˋ	非常低	engine-auto	
中 1-8	เช่นผักเสียภาษีต่ำมาก	chen phak sia phasi tam mak	chēnˋ pakˇ sīaˊ pā sīˊ damˇ mākˋ	例如青菜付稅非常低	engine-auto	
中 1-8	ไต้หวันมีของอร่อย	taiwan mi khong aroi	daiˋ wanˊ mī kɔ̄ngˊ aˇ rɔ̄iˋ	台灣有好吃的東西	engine-auto	
中 1-8	หลายอย่าง	lai yang	lāiˊ yāngˋ	好幾種 / 許多	engine-auto	
中 1-8	หลายอย่างเช่น	lai yang chen	lāiˊ yāngˋ chēnˋ	好幾種 例如	engine-auto	
中 1-8	โรงเรียนรัฐบาล	rongrian ratthaban	rōng rīan rat~ bhān	公立學校	engine-auto	
中 1-8	ครูโรงเรียนรัฐบาล	khru rongrian ratthaban	krū rōng rīan rat~ bhān	公立學校的老師	engine-auto	
中 1-8	โรงเรียนเอกชน	rongrian ekkachon	rōng rīan ēkˇ chon	私立學校	derived	
中 1-8	โรงเรียนนานาชาติ	rongrian nanachat	rōng rīan nā nā chātˋ	國際學校	derived	
中 1-8	ค่าเทอม	kha thoem	kāˋ tə̄m	學費	engine-auto	
中 1-8	ค่าเทอมแพงไหม	kha thoem phaeng mai	kāˋ tə̄m pɛ̄ng maiˊ	學費貴嗎	engine-auto	
中 1-8	ค่าเทอมแพงมาก	kha thoem phaeng mak	kāˋ tə̄m pɛ̄ng mākˋ	學費很貴	engine-auto	
中 1-8	โรงพยาบาล	rongphayaban	rōng pa~ yā bhān	醫院	derived	
中 1-8	โรงบาล	rongban	rōng bhān	醫院（口語）	engine-auto	
中 1-8	โรงพยาบาลรัฐบาล	rongphayaban ratthaban	rōng pa~ yā bhān rat~ bhān	公立醫院	derived	
中 1-8	โรงพยาบาลเอกชน	rongphayaban ekkachon	rōng pa~ yā bhān ēkˇ chon	私立醫院	derived	
中 1-8	ค่าหมอแพง	kha mo phaeng	kāˋ mɔ̄ˊ pɛ̄ng	看診費貴	engine-auto	
中 1-8	ตั้งโรงงาน	tang rongngan	dangˋ rōng ngān	設立工廠	engine-auto	
中 1-8	ผลิต	phalit	paˇ lit~	生產	engine-auto	
中 1-8	ชิ้นส่วนคอม	chinsuan khom	chin~ sūanˇ kɔ̄m	電腦零件	engine-auto	
中 1-8	โรงงานผลิตชิ้นส่วนคอม	rongngan phalit chinsuan khom	rōng ngān paˇ lit~ chin~ sūanˇ kɔ̄m	生產電腦零件的工廠	engine-auto	
中 1-8	โรงงานอยู่ภาคตะวันออก	rongngan yu phak tawan ok	rōng ngān yūˋ pākˋ daˇ wan ɔ̄kˇ	工廠在東部	engine-auto	
中 1-8	โรงพัก	rongphak	rōng pak~	派出所	engine-auto	
中 1-8	เมื่อก่อนของหายต้องไปโรงพัก	muea kon khong hai tong pai rongphak	mɯ̄aˋ gɔ̄nˇ kɔ̄ngˊ hāiˊ dɔ̄ngˋ bai rōng pak~	以前東西不見必須去派出所	engine-auto	
中 1-8	แต่เดี๋ยวนี้ไม่ต้องไปโรงพักก็ได้	tae diao ni mai tong pai rongphak ko dai	dɛ̄ˇ dhīauˊ nī~ maiˋ dɔ̄ngˋ bai rōng pak~ gɔ̄ˋ dhaiˋ	但是現在不用去派出所也可以	engine-auto	
中 1-8	ปริญญา	parinya	brin yā	學歷	book-exact	(book-exact已用引擎重新驗證)
中 1-8	พอจบปริญญาตรี	pho cop parinya tri	pɔ̄ jopˇ brin yā drī	一畢業於學士學位	derived	
中 1-8	ก็ไปเรียนต่อปริญญาโท	ko pai rian tor parinya tho	gɔ̄ˋ bai rīan dɔ̄ˇ brin yā tō	就去繼續唸碩士	engine-auto	
中 1-8	ปริญญาโท	parinya tho	brin yā tō	碩士學位	engine-auto	
中 1-8	เรียนต่อปริญญาโทที่เมืองนอก	rian tor parinya tho thi mueang nok	rīan dɔ̄ˇ brin yā tō tīˋ mɯ̄ang nɔ̄kˋ	在國外繼續唸碩士	engine-auto	
中 1-8	เขาสอบได้คะแนนสูงที่สุด	khao sop dai khanan sung thi sut	kāuˊ sɔ̄pˇ dhaiˋ ka~ nɛ̄n sūngˊ tīˋ sutˇ	他考試得到最高分	engine-auto	
中 1-8	ข้อสอบยากมาก	kho sop yak mak	kɔ̄ˋ sɔ̄pˇ yākˋ mākˋ	考題非常難	engine-auto	
中 1-8	ซ่อมไม่ได้แล้ว	som mai dai laeo	sɔ̄mˋ maiˋ dhaiˋ lɛ̄u~	修不好了	engine-auto	
中 1-8	ต้องซื้อใหม่	tong su mai	dɔ̄ngˋ sɯ̄~ maiˇ	必須買新的	engine-auto	
中 1-8	ค่าซ่อมเท่าไร แพงไหม	kha som thao rai phaeng mai	kāˋ sɔ̄mˋ tāuˋ rai pɛ̄ng maiˊ	修理費多少？貴嗎？	engine-auto	
中 1-8	เริ่ม	roem	rə̄mˋ	開始	engine-auto	
中 1-8	เริ่มหิวแล้ว	roem hiu laeo	rə̄mˋ hiwˊ lɛ̄u~	開始餓了	engine-auto	
中 1-8	เริ่มมีความรัก	roem mi khwam rak	rə̄mˋ mī kwām rak~	開始有愛情	engine-auto	
中 1-8	เริ่มลดความอ้วน	roem lot khwam uan	rə̄mˋ lot~ kwām ūanˋ	開始減肥	derived	
中 1-8	เลิก	loek	lə̄kˋ	停止／戒掉	engine-auto	
中 1-8	พยายาม	phayayam	pa~ yā yām	努力	derived	
中 1-8	พยายามเลิกสูบบุหรี่ 2 ปีแล้ว	phayayam loek sup buri song pi laeo	pa~ yā yām lə̄kˋ sūpˇ bhuˇ rīˇ 2 bī lɛ̄u~	努力戒煙兩年了	derived	
中 1-8	ฉันเลิกเหล้าไม่ได้	chan loek lao mai dai	chanˊ lə̄kˋ lāuˋ maiˋ dhaiˋ	我無法戒酒	engine-auto	
中 1-8	ไหว	wai	waiˊ	受得住	engine-auto	
中 1-8	ซื้อไม่ไหว	sue mai wai	sɯ̄~ maiˋ waiˊ	買不起	engine-auto	
中 1-8	ฉันซื้อไหว	chan sue wai	chanˊ sɯ̄~ waiˊ	我買得起	engine-auto	
中 1-8	เสียงดังมาก ทนไม่ไหวแล้ว	siang dang mak thon mai wai laeo	sīangˊ dhang mākˋ ton maiˋ waiˊ lɛ̄u~	很大聲，受不了了	derived	
中 1-8	ลา	la	lā	請假	engine-auto	
中 1-8	ขอลากิจไปทำธุระ	kho la kit pai tham thura	kɔ̄ˊ lā gitˇ bai tam tu~ ra~	請事假去辦事	engine-auto	
中 1-8	ลาออก	la ok	lā ɔ̄kˇ	離職	engine-auto	
中 1-8	หัวหน้าขี้บ่นอยากลาออก	hua na khi bon yak la ok	hūaˊ nāˋ kīˋ bhonˇ yākˋ lā ɔ̄kˇ	主管愛抱怨想離職	derived	
中 1-8	ลาพักร้อน	la phak ron	lā pak~ rɔ̄n~	請年休假	engine-auto	
中 1-8	ปีนี้ลาพักร้อนได้ 15 วัน	pi ni la phak ron dai 15 wan	bī nī~ lā pak~ rɔ̄n~ dhaiˋ 15 wan	今年可以請年休假15天	engine-auto	
中 1-8	ประจำ	pra tsam	braˇ jam	常常	engine-auto	
中 1-8	ทำไมมาสายประจำ	tham mai ma sai pra tsam	tam mai mā sāiˊ braˇ jam	為什麼常常遲到	engine-auto	
中 1-8	ลูกค้าประจำ	luk kha pra tsam	lūkˋ kā~ braˇ jam	常客	engine-auto	
中 1-8	ฉันเป็นลูกค้าประจำที่นี่	chan pen luk kha pra tsam thi ni	chanˊ ben lūkˋ kā~ braˇ jam tīˋ nīˋ	我是這裡的常客	engine-auto	
中 1-8	งานประจำเงินเดือนสูง	ngan pra tsam ngoen duean sung	ngān braˇ jam ngə̄n dhɯ̄an sūngˊ	正職薪水很高	engine-auto	
中 1-8	ตรวจ	truat	drūatˇ	檢查	engine-auto	
中 1-8	ตรวจสุขภาพประจำปี	truat sukkhapap pra tsam pi	drūatˇ sukˇ pāpˋ braˇ jam bī	年度健康檢查	engine-auto	
中 1-8	ครูตรวจข้อสอบ	khru truat kho sop	krū drūatˇ kɔ̄ˋ sɔ̄pˇ	老師檢查考題	engine-auto	
中 1-8	ตรวจกระเป๋าเดินทาง	truat krapao doen thang	drūatˇ graˇ bāuˊ dhə̄n tāng	檢查行李	engine-auto	
中 1-8	จ่ายค่าอาหาร	tsai kha a han	jāiˇ kāˋ ā hānˊ	付餐費	engine-auto	
中 1-8	ลืมจ่ายค่าอาหาร	luem tsai kha a han	lɯ̄m jāiˇ kāˋ ā hānˊ	忘記付餐費	engine-auto	
中 1-8	ยังไม่จ่ายภาษี	yang mai tsai pha si	yang maiˋ jāiˇ pā sīˊ	還沒付稅	engine-auto	
中 1-8	ไม่ต้องใช้เงินสด	mai tong tsai ngoen sot	maiˋ dɔ̄ngˋ chai~ ngə̄n sotˇ	不用現金	engine-auto	
中 1-8	จ่ายผ่านมือถือ	tsai phan mue thue	jāiˇ pānˇ mɯ̄ tɯ̄ˊ	透過手機支付	engine-auto	
中 1-8	เถ้าแก่ ยังไม่ทอนเงินนะคะ	thao kae yang mai thon ngoen na kha	tāuˋ gɛ̄ˇ yang maiˋ tɔ̄n ngə̄n na~ ka~	老闆，還沒找錢喔	engine-auto	
中 1-8	ขอโทษ ขอโทษ ผมลืมทอนเงิน	kho thot kho thot phom luem thon ngoen	kɔ̄ˊ tōtˋ kɔ̄ˊ tōtˋ pomˊ lɯ̄m tɔ̄n ngə̄n	對不起，對不起，我忘記找錢了	engine-auto	
中 1-8	นี่ เงินทอนครับ	ni ngoen thon khrap	nīˋ ngə̄n tɔ̄n krap~	這是找的錢	engine-auto	
中 1-8	เพิ่ม	phem	pə̄mˋ	增加	engine-auto	
中 1-8	จะสั่งอะไรเพิ่มไหมคะ	ja sang arai phem mai kha	jaˇ sangˇ aˇ rai pə̄mˋ maiˊ ka~	還要再點什麼嗎？	engine-auto	
中 1-8	ต้มยำกุ้งเพิ่มค่ะ	tom yam kung phem kha	domˋ yam gungˋ pə̄mˋ kaˋ	加點冬陰功（酸辣蝦湯）	engine-auto	
中 1-8	ไปกินบุฟเฟต์	pai kin bupfe	bai gin bhupˇ fē	去吃吃到飽	engine-auto	
中 1-8	ต้องจ่ายเพิ่มเก้าสิบเก้าบาท	tong chai phem kao sip kao bat	dɔ̄ngˋ jāiˇ pə̄mˋ gāuˋ sipˇ gāuˋ bhātˇ	需要再加付 99 銖	engine-auto	
中 1-8	กุญแจหายแล้ว	kunjae hai laew	gun jɛ̄ hāiˊ lɛ̄u~	鑰匙不見了	engine-auto	
中 1-8	ทำยังไงดี	tham yang ngai di	tam yang ngai dhī	怎麼辦才好	engine-auto	
中 1-8	มือถือหาย	mue thue hai	mɯ̄ tɯ̄ˊ hāiˊ	手機不見了	engine-auto	
中 1-8	หายไปไหนมา	hai pai nai ma	hāiˊ bai naiˊ mā	消失去哪裡了？	engine-auto	
中 1-8	ไม่เจอกันนาน	mai cheo kan nan	maiˋ jə̄ gan nān	好久不見	engine-auto	
中 1-8	ตัก	tak	dakˇ	舀 / 夾	engine-auto	
中 1-8	อย่าตักเยอะเกินไป	ya tak yoe koen pai	yāˋ dakˇ yə~ gə̄n bai	別舀太多	engine-auto	
中 1-8	ระวังกินไม่หมด	rawang kin mai mot	ra~ wang gin maiˋ motˇ	小心吃不完	derived	
中 1-8	หยิบ	yip	yipˇ	拿	engine-auto	
中 1-8	ช่วยหยิบทิชชู่ให้หน่อย	chuai yip thit chu hai noi	chūayˋ yipˇ tit~ chūˋ haiˋ nɔ̄iˇ	請幫我拿一下衛生紙	engine-auto	
中 1-8	ลิ้นชัก	lin chak	lin~ chak~	抽屜	engine-auto	
中 1-8	ช่วยหยิบเอกสารในลิ้นชักให้หน่อย	chuai yip ek kasan nai lin chak hai noi	chūayˋ yipˇ ēkˇ sānˊ nai lin~ chak~ haiˋ nɔ̄iˇ	請幫我拿一下抽屜裡的文件	engine-auto	
中 1-8	ดึง	dueng	dhɯng	拉	engine-auto	
中 1-8	ดึงไม่ออก	dueng mai ok	dhɯng maiˋ ɔ̄kˇ	拉不出來	engine-auto	
中 1-8	ฉันช่วยคุณดึง	chan chuai khun dueng	chanˊ chūayˋ kun dhɯng	我幫你拉	engine-auto	
中 1-8	เคี้ยว	khiao	kīau~	嚼	engine-auto	
中 1-8	ปวดฟันเคี้ยวข้าวไม่ไหว	puat fan khiao khao mai wai	būatˇ fan kīau~ kāuˋ maiˋ waiˊ	牙痛咬不動飯	engine-auto	
中 1-8	คุณยายชอบเคี้ยวหมาก	khun yai chop khiao mak	kun yāi chɔ̄pˋ kīau~ mākˇ	外婆喜歡嚼檳榔	engine-auto	
中 1-8	แน่น	naen	nɛ̄nˋ	緊 / 擁擠	engine-auto	
中 1-8	บนรถเมล์คนแน่นมาก	bon rot me khon naen mak	bhon rot~ mē kon nɛ̄nˋ mākˋ	公車上人非常擁擠	engine-auto	
中 1-8	ถ้าจับไม่แน่น	tha chap mai naen	tāˋ japˇ maiˋ nɛ̄nˋ	如果抓不緊	engine-auto	
中 1-8	อาจตกได้	at tok dai	ātˇ dokˇ dhaiˋ	可能會掉下去	engine-auto	
中 1-8	ฉันรู้สึกแน่นหน้าอก	chan ru suk naen na ok	chanˊ rū~ sɯkˇ nɛ̄nˋ nāˋ okˇ	我感到胸悶	derived	
中 1-8	กอด	kot	gɔ̄tˇ	抱	engine-auto	
中 1-8	แม่กอดลูก	mae kot luk	mɛ̄ˋ gɔ̄tˇ lūkˋ	媽媽抱小孩	engine-auto	
中 1-8	พระเอกกอดนางเอก	phra ek kot nang ek	pra~ ēkˇ gɔ̄tˇ nāng ēkˇ	男主角抱女主角	engine-auto	
中 1-8	ย้าย	yai	yāi~	搬 / 搬家	engine-auto	
中 1-8	เตรียมตัวย้ายเข้าบ้านใหม่	triam tua yai khao ban mai	drīam dūa yāi~ kāuˋ bhānˋ maiˇ	準備搬進新家	engine-auto	
中 1-8	หลังแต่งงานก็ย้ายมาอยู่ไต้หวัน	lang taeng ngan ko yai ma yu tai wan	langˊ dɛ̄ngˇ ngān gɔ̄ˋ yāi~ mā yūˋ daiˋ wanˊ	結婚後就搬來台灣住	engine-auto	
中 1-8	ตำแหน่ง	tam naeng	dam nɛ̄ngˇ	職位	engine-auto	
中 1-8	ตำแหน่งผู้จัดการ	tam naeng phu chat kan	dam nɛ̄ngˇ pūˋ jatˇ gān	經理職位	engine-auto	
中 1-8	ตำแหน่งผู้ช่วย	tam naeng phu chuai	dam nɛ̄ngˇ pūˋ chūayˋ	助理職位	engine-auto	
中 1-8	ตำแหน่งแม่บ้าน	tam naeng mae ban	dam nɛ̄ngˇ mɛ̄ˋ bhānˋ	房務 / 清潔人員職位	engine-auto	
中 1-8	แทน	thaen	tɛ̄n	代替	engine-auto	
中 1-8	ใช้ปากกาดำแทนก็ได้	chai pakka dam thaen ko dai	chai~ bākˇ gā dham tɛ̄n gɔ̄ˋ dhaiˋ	用黑色筆代替也可以	engine-auto	
中 1-8	เอาปลานึ่งมะนาวแทนได้ไหมคะ	ao pla nueng manao thaen dai mai kha	au blā nɯngˋ ma~ nāu tɛ̄n dhaiˋ maiˊ ka~	拿檸檬蒸魚代替可以嗎？	engine-auto	
中 1-8	จด	jot	jotˇ	記 / 筆記	derived	
中 1-8	ฟังไปจดไป	fang pai jot pai	fang bai jotˇ bai	一邊聽一邊記	derived	
中 1-8	ครูพูดเร็ว	khru phut reu	krū pūtˋ rew	老師說得很快	engine-auto	
中 1-8	นักเรียนจดไม่ทัน	nak rian jot mai than	nak~ rīan jotˇ maiˋ tan	學生來不及記	derived	
中 1-8	จดทะเบียนแต่งงาน	jot thabian taeng ngan	jotˇ ta~ bhīan dɛ̄ngˇ ngān	登記結婚	derived	
中 1-8	จดทะเบียนบริษัท	jot thabian borisat	jotˇ ta~ bhīan bhɔ̄ ri~ satˇ	登記公司	derived	
中 1-8	ถึงหมายเลข 84 หรือยังครับ	thueng mai lek 84 rue yang khrap	tɯngˊ māiˊ lēkˋ 84 rɯ̄ˊ yang krap~	到 84 號了嗎？	engine-auto	
中 1-8	ขอหมายเลขบัญชีด้วย	kho mai lek ban chi duai	kɔ̄ˊ māiˊ lēkˋ bhan chī dhūayˋ	請給我帳戶號碼	engine-auto	
中 1-8	เตรียม	triam	drīam	準備	engine-auto	
中 1-8	เตรียมตัวไปแฟนมีต	triam tua pai faen mit		準備去粉絲見面會	unresolved	英文外來語/正式縮寫/原始資料異常，見全課-仍不確定清單.tsv
中 1-8	เตรียมตัวไปเที่ยว	triam tua pai thiao	drīam dūa bai tīauˋ	準備去玩	engine-auto	
中 1-8	เตรียมเอกสาร	triam ek kasan	drīam ēkˇ sānˊ	準備文件	engine-auto	
中 1-8	พร้อม	phrom	prɔ̄m~	準備好	engine-auto	
中 1-8	อาหารพร้อมแล้ว	a han phrom laew	ā hānˊ prɔ̄m~ lɛ̄u~	餐點準備好了	engine-auto	
中 1-8	พร้อมออกเดินทางแล้ว	phrom ok doen thang laew	prɔ̄m~ ɔ̄kˇ dhə̄n tāng lɛ̄u~	準備好要出發了	engine-auto	
中 1-8	นัด	nat	nat~	約定	engine-auto	
中 1-8	วันนี้ 1 ทุ่ม	wan ni nueng thum	wan nī~ 1 tumˋ	今天晚上七點	engine-auto	
中 1-8	มีนัดดูหนังกับเพื่อน	mi nat du nang kap phuen	mī nat~ dhū nangˊ gapˇ pɯ̄anˋ	有跟朋友約去看電影	engine-auto	
中 1-8	แต่เพื่อนผิดนัด	tae phuen phit nat	dɛ̄ˇ pɯ̄anˋ pitˇ nat~	但朋友違約（放鴿子）	engine-auto	
中 1-8	รวม	ruam	rūam	包含	engine-auto	
